City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,afaahiti,-17.75,-149.2833,71.47,76,33,18.52,PF,1697122118
101,saldanha,-33.0117,17.9442,69.85,84,0,20.8,ZA,1697122118
102,sitamau,24.0167,75.35,79.03,50,29,6.96,IN,1697122118
103,khovd,48.0056,91.6419,49.05,45,7,0.36,MN,1697122118
104,tonghae,37.5439,129.1069,60.19,81,100,4.79,KR,1697122119
105,bodaybo,57.8506,114.1933,54.75,64,73,19.53,RU,1697122119
106,ampanihy,-24.7,44.75,76.41,58,18,15.73,MG,1697122119
107,kapuskasing,49.4169,-82.4331,37.49,100,75,8.05,CA,1697122119
108,seredyna-buda,52.189,34.0364,62.13,48,100,21.3,UA,1697122119
109,whitehorse,60.7161,-135.0538,36.37,81,100,20.71,CA,1697122120
110,namibe,-15.1961,12.1522,71.69,73,22,7.11,AO,1697122120
111,lebu,-37.6167,-73.65,52.34,64,0,19.42,CL,1697122120
112,prince george,53.9166,-122.753,36.63,99,75,1.01,CA,1697122120
113,isafjordur,66.0755,-23.124,35.64,87,100,23.02,IS,1697122121
114,rocha,-34.4833,-54.3333,54.23,46,11,12.71,UY,1697121986
115,touros,-5.1989,-35.4608,86.0,60,1,16.06,BR,1697122121
116,aromashevo,56.8602,68.6375,41.4,73,98,10.94,RU,1697122121
117,punta arenas,-53.15,-70.9167,48.31,66,40,24.16,CL,1697122121
118,neijiang,29.5835,105.0622,60.33,94,100,4.43,CN,1697122121
119,puerto ayora,-0.7393,-90.3518,78.76,75,93,9.13,EC,1697122122
120,lorengau,-2.0226,147.2712,80.67,82,30,2.75,PG,1697122122
121,dudinka,69.4058,86.1778,34.68,93,100,15.01,RU,1697122122
122,karratha,-20.7377,116.8463,81.12,59,3,9.6,AU,1697122122
123,zhigalovo,54.8097,105.1578,50.07,71,91,4.0,RU,1697122122
124,as sulayyil,20.4607,45.5779,98.85,12,0,8.79,SA,1697122123
125,sao joao da barra,-21.6403,-41.0511,87.89,72,44,19.08,BR,1697122123
126,ternate,0.8,127.4,80.1,81,86,5.08,ID,1697122123
127,fortuna,40.5982,-124.1573,47.32,97,100,9.22,US,1697122123
128,tura,25.5198,90.2201,72.27,83,1,2.55,IN,1697122124
129,ilovlya,49.3033,43.9796,47.82,37,61,14.43,RU,1697122124
130,nar'yan-mar,67.6713,53.087,34.11,76,100,8.99,RU,1697122124
131,patnanungan,14.7833,122.1833,82.17,83,39,14.97,PH,1697122125
132,ajaokuta,7.5623,6.655,87.46,70,99,1.97,NG,1697122125
133,kavieng,-2.5744,150.7967,81.72,77,82,2.82,PG,1697122125
134,ondjiva,-17.0667,15.7333,92.73,21,59,9.01,AO,1697122125
135,vieira de leiria,39.8695,-8.9324,91.85,25,0,12.66,PT,1697122126
136,nova sintra,14.8667,-24.7167,75.94,74,59,9.86,CV,1697122126
137,al kharijah,25.4514,30.5464,86.81,22,0,14.47,EG,1697122126
138,pimentel,-6.8367,-79.9342,68.29,77,75,5.75,PE,1697122126
139,foindu,7.4108,-11.5422,85.48,72,62,4.81,SL,1697122126
140,kalmunai,7.4167,81.8167,79.3,85,100,2.35,LK,1697122127
141,ilulissat,69.2167,-51.1,26.62,59,75,17.27,GL,1697122127
142,ammi moussa,35.8678,1.1114,91.11,16,0,4.25,DZ,1697122127
143,qaqortoq,60.7167,-46.0333,38.59,79,99,5.08,GL,1697122116
144,kangding,30.0513,101.9603,46.89,98,96,4.38,CN,1697122127
145,atafu village,-8.5421,-172.5159,83.44,77,16,14.23,TK,1697122128
146,marine corps base hawaii - mcbh,21.4453,-157.7513,76.1,81,11,1.01,US,1697122128
147,manaure,11.7751,-72.4445,90.77,59,57,15.23,CO,1697122128
148,pathardi,19.1667,75.1833,83.44,42,50,5.66,IN,1697122128
149,susuman,62.7833,148.1667,9.99,77,100,1.99,RU,1697122129
150,westport,41.1415,-73.3579,67.8,68,0,4.61,US,1697121861
151,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,73,0,15.01,RU,1697122129
152,newman,37.3138,-121.0208,53.58,75,21,3.11,US,1697122129
153,iskateley,67.6803,53.1512,34.02,76,100,8.99,RU,1697122130
154,melfort,52.8667,-104.6177,42.93,87,3,2.3,CA,1697122130
155,new norfolk,-42.7826,147.0587,51.3,84,100,4.79,AU,1697122130
156,carutapera,-1.195,-46.02,88.61,57,97,10.02,BR,1697122130
157,menongue,-14.6585,17.691,82.76,31,89,9.01,AO,1697122130
158,walvis bay,-22.9575,14.5053,60.1,56,0,23.58,NA,1697122130
159,urtaowul,41.1867,69.1453,63.03,51,40,6.91,UZ,1697122131
160,minab,27.1467,57.0801,95.32,34,0,4.61,IR,1697122131
161,cabo san lucas,22.8909,-109.9124,79.75,70,0,8.01,MX,1697122072
162,ishigaki,24.3448,124.1572,77.13,94,75,10.36,JP,1697122030
